dataset,openml_id,shot,seed,method,status,error_code,roc_auc,gate_accepted,rescued_count,pseudo_label_collapse,exact_tree_fallback
credit-g,31,5,0,TreeSelfTrain-S,success,,0.615,0,0,0,True
credit-g,31,5,0,ProtoOOF-Tree-v1,success,,0.615,0,0,0,True
credit-g,31,5,0,ProtoOOF-NoSemantics,success,,0.615,0,0,0,True
credit-g,31,5,0,ProtoOOF-Permuted,success,,0.6129166666666667,1,50,0,True
credit-g,31,5,9,TreeSelfTrain-S,success,,0.4907142857142857,0,0,0,True
credit-g,31,5,9,ProtoOOF-Tree-v1,success,,0.4907142857142857,0,0,0,True
credit-g,31,5,9,ProtoOOF-NoSemantics,success,,0.4907142857142857,0,0,0,True
credit-g,31,5,9,ProtoOOF-Permuted,success,,0.5022619047619048,1,50,0,True
credit-g,31,5,19,TreeSelfTrain-S,success,,0.592202380952381,0,0,0,True
credit-g,31,5,19,ProtoOOF-Tree-v1,success,,0.592202380952381,0,0,0,True
credit-g,31,5,19,ProtoOOF-NoSemantics,success,,0.592202380952381,0,0,0,True
credit-g,31,5,19,ProtoOOF-Permuted,success,,0.592202380952381,0,0,0,True
credit-g,31,10,0,TreeSelfTrain-S,success,,0.5725595238095238,0,0,0,True
credit-g,31,10,0,ProtoOOF-Tree-v1,success,,0.5725595238095238,0,0,0,True
credit-g,31,10,0,ProtoOOF-NoSemantics,success,,0.5725595238095238,0,0,0,True
credit-g,31,10,0,ProtoOOF-Permuted,success,,0.5725595238095238,0,0,0,True
credit-g,31,10,9,TreeSelfTrain-S,success,,0.6395238095238095,0,0,0,True
credit-g,31,10,9,ProtoOOF-Tree-v1,success,,0.6395238095238095,0,0,0,True
credit-g,31,10,9,ProtoOOF-NoSemantics,success,,0.6395238095238095,0,0,0,True
credit-g,31,10,9,ProtoOOF-Permuted,success,,0.6395238095238095,0,0,0,True
credit-g,31,10,19,TreeSelfTrain-S,success,,0.5724404761904762,0,0,0,True
credit-g,31,10,19,ProtoOOF-Tree-v1,success,,0.5724404761904762,0,0,0,True
credit-g,31,10,19,ProtoOOF-NoSemantics,success,,0.5724404761904762,0,0,0,True
credit-g,31,10,19,ProtoOOF-Permuted,success,,0.5724404761904762,0,0,0,True
credit-g,31,20,0,TreeSelfTrain-S,success,,0.6941666666666667,0,0,0,True
credit-g,31,20,0,ProtoOOF-Tree-v1,success,,0.6941666666666667,0,0,0,True
credit-g,31,20,0,ProtoOOF-NoSemantics,success,,0.6941666666666667,0,0,0,True
credit-g,31,20,0,ProtoOOF-Permuted,success,,0.6941666666666667,0,0,0,True
credit-g,31,20,9,TreeSelfTrain-S,success,,0.6907738095238095,0,0,0,True
credit-g,31,20,9,ProtoOOF-Tree-v1,success,,0.6907738095238095,0,0,0,True
credit-g,31,20,9,ProtoOOF-NoSemantics,success,,0.6907738095238095,0,0,0,True
credit-g,31,20,9,ProtoOOF-Permuted,success,,0.6907738095238095,0,0,0,True
credit-g,31,20,19,TreeSelfTrain-S,success,,0.6752380952380952,0,0,0,True
credit-g,31,20,19,ProtoOOF-Tree-v1,success,,0.6752380952380952,0,0,0,True
credit-g,31,20,19,ProtoOOF-NoSemantics,success,,0.6752380952380952,0,0,0,True
credit-g,31,20,19,ProtoOOF-Permuted,success,,0.6752380952380952,0,0,0,True
spambase,44,5,0,TreeSelfTrain-S,success,,0.8331457290401572,0,0,0,True
spambase,44,5,0,ProtoOOF-Tree-v1,success,,0.8331457290401572,0,0,0,True
spambase,44,5,0,ProtoOOF-NoSemantics,success,,0.8331457290401572,0,0,0,True
spambase,44,5,0,ProtoOOF-Permuted,success,,0.8331457290401572,0,0,0,True
spambase,44,5,9,TreeSelfTrain-S,success,,0.8242542729346248,0,0,0,True
spambase,44,5,9,ProtoOOF-Tree-v1,success,,0.8242542729346248,0,0,0,True
spambase,44,5,9,ProtoOOF-NoSemantics,success,,0.806851506264996,1,50,0,True
spambase,44,5,9,ProtoOOF-Permuted,success,,0.8242542729346248,0,0,0,True
spambase,44,5,19,TreeSelfTrain-S,success,,0.8319460489548466,0,0,0,True
spambase,44,5,19,ProtoOOF-Tree-v1,success,,0.8319460489548466,0,0,0,True
spambase,44,5,19,ProtoOOF-NoSemantics,success,,0.8319460489548466,0,0,0,True
spambase,44,5,19,ProtoOOF-Permuted,success,,0.8319460489548466,0,0,0,True
spambase,44,10,0,TreeSelfTrain-S,success,,0.8892492866099905,0,0,0,True
spambase,44,10,0,ProtoOOF-Tree-v1,success,,0.8892492866099905,0,0,0,True
spambase,44,10,0,ProtoOOF-NoSemantics,success,,0.8892492866099905,0,0,0,True
spambase,44,10,0,ProtoOOF-Permuted,success,,0.8892492866099905,0,0,0,True
spambase,44,10,9,TreeSelfTrain-S,success,,0.8848578650631437,0,0,0,True
spambase,44,10,9,ProtoOOF-Tree-v1,success,,0.8848578650631437,0,0,0,True
spambase,44,10,9,ProtoOOF-NoSemantics,success,,0.8848578650631437,0,0,0,True
spambase,44,10,9,ProtoOOF-Permuted,success,,0.8848578650631437,0,0,0,True
spambase,44,10,19,TreeSelfTrain-S,success,,0.8297392300324852,0,0,0,True
spambase,44,10,19,ProtoOOF-Tree-v1,success,,0.8297392300324852,0,0,0,True
spambase,44,10,19,ProtoOOF-NoSemantics,success,,0.8297392300324852,0,0,0,True
spambase,44,10,19,ProtoOOF-Permuted,success,,0.8297392300324852,0,0,0,True
spambase,44,20,0,TreeSelfTrain-S,success,,0.9101054533605853,0,0,0,True
spambase,44,20,0,ProtoOOF-Tree-v1,success,,0.9101054533605853,0,0,0,True
spambase,44,20,0,ProtoOOF-NoSemantics,success,,0.9101054533605853,0,0,0,True
spambase,44,20,0,ProtoOOF-Permuted,success,,0.9101054533605853,0,0,0,True
spambase,44,20,9,TreeSelfTrain-S,success,,0.9117124322402915,0,0,0,True
spambase,44,20,9,ProtoOOF-Tree-v1,success,,0.9117124322402915,0,0,0,True
spambase,44,20,9,ProtoOOF-NoSemantics,success,,0.9117124322402915,0,0,0,True
spambase,44,20,9,ProtoOOF-Permuted,success,,0.9117124322402915,0,0,0,True
spambase,44,20,19,TreeSelfTrain-S,success,,0.9003549670705095,0,0,0,True
spambase,44,20,19,ProtoOOF-Tree-v1,success,,0.9003549670705095,0,0,0,True
spambase,44,20,19,ProtoOOF-NoSemantics,success,,0.9003549670705095,0,0,0,True
spambase,44,20,19,ProtoOOF-Permuted,success,,0.9003549670705095,0,0,0,True
